slideName,PanCK,p53,CD20,HLA-E,CD8a,alpha_SMA,CD4,CD68,HLA-A,HLA DR,CD103,CD3d,PD1,LAG3,CD45,gH2Ax,GZMB,pTBK1,CD163,pSTAT3,Ki67,CD11c,FoxP3,H3K27me3,CD57,pSTAT1,CD45RO,CD44,BANF1,cGAS
LSP11060,7.4,8.8,8.2,9.34,7.5,6.8,8.5,7.2,7.8,6.75,7.75,7.35,7.75,7.1,7.4,6.9,8.25,6.9,7.5,7.1,7.5,6.9,7.65,7.8,8.4,7.7,8.15,6.9,7.7,8.15
LSP11064,6.95,8.35,8.8,10.14,7.6,6.7,8.55,7.2,8.15,6.7,8,7.25,7.9,6.95,7.3,6.85,8.55,6.9,7.5,7.4,7.7,7,7.4,9.3,8.5,7.5,8.2,6.75,8,8.25
